Status,Country,ReactorCode,Reactor Name,Type,Grid Connection,Commercial operation,Shutdown,LinkA,LinkB
Operational,SLOVAKIA,SK-6,MOCHOVCE-1,PWR,7/1/1998,10/1/1998,1/1/2021,https://en.wikipedia.org/wiki/Mochovce_Nuclear_Power_Plant,https://en.wikipedia.org/wiki/Mochovce_Nuclear_Power_Plant
Operational,HUNGARY,HU-1,PAKS-1,PWR,12/1/1982,8/1/1983,1/1/2021,https://en.wikipedia.org/wiki/Paks_Nuclear_Power_Plant,https://en.wikipedia.org/wiki/Paks_Nuclear_Power_Plant
Operational,FRANCE,FR-20,GRAVELINES-1,PWR,3/1/1980,11/1/1980,1/1/2021,https://en.wikipedia.org/wiki/Gravelines_Nuclear_Power_Station,https://en.wikipedia.org/wiki/Gravelines_Nuclear_Power_Station
Operational,UK,GB-23A,TORNESS-1,GCR,5/1/1988,5/1/1988,1/1/2021,https://en.wikipedia.org/wiki/Torness_nuclear_power_station,https://www.world-nuclear.org/reactor/default.aspx/TORNESS-1
Operational,FRANCE,FR-22,DAMPIERRE-1,PWR,3/1/1980,9/1/1980,1/1/2021,https://en.wikipedia.org/wiki/Dampierre_Nuclear_Power_Plant,https://en.wikipedia.org/wiki/Dampierre_Nuclear_Power_Plant
Operational,SPAIN,ES-11,TRILLO-1,PWR,5/1/1988,8/1/1988,1/1/2021,https://en.wikipedia.org/wiki/Trillo_Nuclear_Power_Plant,https://en.wikipedia.org/wiki/Trillo_Nuclear_Power_Plant
Operational,FRANCE,FR-54,BELLEVILLE-1,PWR,10/1/1987,6/1/1988,1/1/2021,https://en.wikipedia.org/wiki/Belleville_Nuclear_Power_Plant,https://en.wikipedia.org/wiki/Belleville_Nuclear_Power_Plant
Operational,UK,GB-20A,HEYSHAM A-1,GCR,7/1/1983,4/1/1989,1/1/2021,https://en.wikipedia.org/wiki/Heysham_nuclear_power_station,https://en.wikipedia.org/wiki/Heysham_nuclear_power_station
Operational,UK,GB-22A,HEYSHAM B-1,GCR,7/1/1988,4/1/1989,1/1/2021,https://en.wikipedia.org/wiki/Heysham_nuclear_power_station,https://en.wikipedia.org/wiki/Heysham_nuclear_power_station
Operational,FINLAND,FI-3,OLKILUOTO-1,BWR,9/1/1978,10/1/1979,1/1/2021,https://en.wikipedia.org/wiki/Olkiluoto_Nuclear_Power_Plant,https://en.wikipedia.org/wiki/Olkiluoto_Nuclear_Power_Plant
Operational,UKRAINE,UA-27,ROVNO-1,PWR,12/1/1980,9/1/1981,1/1/2021,https://en.wikipedia.org/wiki/Rivne_Nuclear_Power_Plant,https://en.wikipedia.org/wiki/Rivne_Nuclear_Power_Plant
Operational,FINLAND,FI-1,LOVIISA-1,PWR,2/1/1977,5/1/1977,1/1/2021,https://en.wikipedia.org/wiki/Loviisa_Nuclear_Power_Plant,https://en.wikipedia.org/wiki/Loviisa_Nuclear_Power_Plant
Operational,UKRAINE,UA-40,KHMELNITSKI-1,PWR,12/1/1987,8/1/1988,1/1/2021,https://en.wikipedia.org/wiki/Khmelnytskyi_Nuclear_Power_Plant,https://en.wikipedia.org/wiki/Khmelnytskyi_Nuclear_Power_Plant
Operational,RUSSIA,RU-163,LENINGRAD 2-1,PWR,3/1/2018,10/1/2018,1/1/2021,https://en.wikipedia.org/wiki/Leningrad_Nuclear_Power_Plant,https://en.wikipedia.org/wiki/Leningrad_Nuclear_Power_Plant
Operational,UK,GB-16A,HINKLEY POINT B-1,GCR,10/1/1976,10/1/1978,1/1/2021,https://en.wikipedia.org/wiki/Hinkley_Point_B_nuclear_power_station,https://en.wikipedia.org/wiki/Hinkley_Point_B_nuclear_power_station
Operational,FRANCE,FR-58,NOGENT-1,PWR,10/1/1987,2/1/1988,1/1/2021,https://en.wikipedia.org/wiki/Nogent_Nuclear_Power_Plant,https://en.wikipedia.org/wiki/Nogent_Nuclear_Power_Plant
Operational,NETHERLANDS,NL-2,BORSSELE,PWR,7/1/1973,10/1/1973,1/1/2021,https://en.wikipedia.org/wiki/Borssele_Nuclear_Power_Station,https://en.wikipedia.org/wiki/Borssele_Nuclear_Power_Station
Operational,UKRAINE,UA-44,SOUTH UKRAINE-1,PWR,12/1/1982,12/1/1983,1/1/2021,https://en.wikipedia.org/wiki/South_Ukraine_Nuclear_Power_Plant,https://en.wikipedia.org/wiki/South_Ukraine_Nuclear_Power_Plant
